timestamp,target_threshold,count,avg_duration_s,min_duration_s,max_duration_s,avg_expiry_s,avg_start_price,avg_end_price
2026-01-07T22:46:41.008Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:47:41.009Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:47:41.009Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:47:41.009Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:48:41.011Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:48:41.011Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:48:41.011Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:49:41.011Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:49:41.011Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:49:41.011Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:50:41.011Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:50:41.011Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:50:41.011Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:51:41.013Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:51:41.013Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:51:41.013Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:52:41.013Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:52:41.013Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:52:41.013Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:53:41.013Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:53:41.013Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:53:41.013Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:54:41.015Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:54:41.015Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:54:41.015Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:55:41.017Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:55:41.017Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:55:41.017Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:56:41.017Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:56:41.017Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:56:41.017Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:57:41.019Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:57:41.019Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:57:41.019Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:58:41.019Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:58:41.019Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:58:41.019Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:59:41.021Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T22:59:41.021Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:59:41.021Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T23:00:41.024Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T23:00:41.024Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T23:00:41.024Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T23:01:41.025Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T23:01:41.025Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T23:01:41.025Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T23:02:41.027Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T23:02:41.027Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T23:02:41.027Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T23:03:41.027Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T23:03:41.027Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T23:03:41.027Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T23:04:41.027Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T23:04:41.027Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T23:04:41.027Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T23:05:41.028Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T23:05:41.028Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T23:05:41.028Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T23:06:41.029Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T23:06:41.029Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T23:06:41.029Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T23:07:41.031Z,0.8,25,55.7,0.2,88.0,268,0.464,0.846
2026-01-07T23:07:41.031Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
